583	-	-	-	-	-	-	06:25	06:37	06:47	06:59	07:17	07:30
803	06:15	06:26	06:34	06:49	07:02	07:13	07:32	07:45	07:56	08:10	08:28	08:40
203	-	06:30	06:38	-	-	-	07:20	-	-	07:45	08:03	08:15
603	06:40	06:51	07:00	07:15	07:27	-	07:53	-	-	08:19	08:38	08:50
805	07:00	07:11	07:19	07:34	07:47	07:58	08:17	08:30	08:41	08:55	09:13	09:25
1607	07:10	07:21	07:29	07:43	07:56	-	08:25	-	-	08:50	09:07	09:20
109	07:20	07:31	07:39	-	-	-	08:20	-	-	-	-	09:05
1505	07:25	07:36	07:46	08:01	08:12	08:25	08:42	-	-	-	-	-
609	07:35	07:46	07:55	08:10	08:22	-	08:48	-	-	09:14	09:33	09:45
205	07:40	07:51	07:59	-	-	-	08:40	-	-	-	09:18	09:30
809	08:00	08:11	08:19	08:34	08:47	08:58	09:17	09:30	09:41	09:55	10:13	10:25
613	08:10	08:21	08:29	08:43	08:56	-	09:25	-	-	09:50	10:07	10:20
113	08:20	08:31	08:39	-	-	-	09:20	-	-	-	-	10:05
615	08:35	08:46	08:55	09:10	09:22	-	09:48	-	-	10:14	10:33	10:45
1209	08:40	08:51	08:59	-	-	-	09:40	-	-	-	10:18	10:30
813	09:00	09:11	09:19	09:34	09:47	09:58	10:17	10:30	10:41	10:55	11:13	11:25
619	09:10	09:21	09:29	09:43	09:56	-	10:25	-	-	10:50	11:07	11:20
117	09:20	09:31	09:39	-	-	-	10:20	-	-	-	-	11:05
1513	09:25	09:36	09:46	10:01	10:12	10:25	10:42	-	-	-	-	-
621	09:35	09:46	09:55	10:10	10:22	-	10:48	-	-	11:14	11:33	11:45
1213	09:40	09:51	09:59	-	-	-	10:40	-	-	-	11:18	11:30
1309	09:50	10:01	10:10	-	-	-	10:54	11:06	11:17	11:30	11:48	12:00
817	10:00	10:11	10:19	10:34	10:47	10:58	11:17	11:30	11:41	11:55	12:13	12:25
625	10:10	10:21	10:29	10:43	10:56	-	11:25	-	-	11:50	12:07	12:20
121	10:20	10:31	10:39	-	-	-	11:20	-	-	-	-	12:05
627	10:35	10:46	10:55	11:10	11:22	-	11:48	-	-	12:14	12:33	12:45
1217	10:40	10:51	10:59	-	-	-	11:40	-	-	-	12:18	12:30
821	11:00	11:11	11:19	11:34	11:47	11:58	12:17	12:30	12:41	12:55	13:13	13:25
1631	11:10	11:21	11:29	11:43	11:56	-	12:25	-	-	12:50	13:07	13:20
125	11:20	11:31	11:39	-	-	-	12:20	-	-	-	-	13:05
633	11:35	11:46	11:55	12:10	12:22	-	12:48	-	-	13:14	13:33	13:45
825	12:00	12:11	12:19	12:34	12:47	12:58	13:17	13:30	13:41	13:55	14:13	14:25
1637	12:10	12:21	12:29	12:43	12:56	-	13:25	-	-	13:50	14:07	14:20
129	12:20	12:31	12:39	-	-	-	13:20	-	-	-	-	14:05
639	12:35	12:46	12:55	13:10	13:22	-	13:48	-	-	14:14	14:33	14:45
829	13:00	13:11	13:19	13:34	13:47	13:58	14:17	14:30	14:41	14:55	15:13	15:25
1643	13:10	13:21	13:29	13:43	13:56	-	14:25	-	-	14:50	15:07	15:20
133	13:20	13:31	13:39	-	-	-	14:20	-	-	-	-	15:05
645	13:35	13:46	13:55	14:10	14:22	-	14:48	-	-	15:14	15:33	15:45
833	14:00	14:11	14:19	14:34	14:47	14:58	15:17	15:30	15:41	15:55	16:13	16:25
1649	14:10	14:21	14:29	14:43	14:56	-	15:25	-	-	15:50	16:07	16:20
137	14:20	14:31	14:39	-	-	-	15:20	-	-	-	-	16:05
651	14:35	14:46	14:55	15:10	15:22	-	15:48	-	-	16:14	16:33	16:45
837	15:00	15:11	15:19	15:34	15:47	15:58	16:17	16:30	16:41	16:55	17:13	17:25
1655	15:10	15:21	15:29	15:43	15:56	-	16:25	-	-	16:50	17:07	17:20
141	15:20	15:31	15:39	-	-	-	16:20	-	-	-	-	17:05
657	15:35	15:46	15:55	16:10	16:22	-	16:48	-	-	17:14	17:33	17:45
1237	15:40	15:51	15:59	-	-	-	16:40	-	-	-	17:18	17:30
841	16:00	16:11	16:19	16:34	16:47	16:58	17:17	17:30	17:41	17:55	18:13	18:25
661	16:10	16:21	16:29	16:43	16:56	-	17:25	-	-	17:50	18:07	18:20
145	16:20	16:31	16:39	-	-	-	17:20	-	-	-	-	18:05
1541	16:25	16:36	16:46	17:01	17:12	17:25	17:42	-	-	-	-	-
663	16:35	16:46	16:55	17:10	17:22	-	17:48	-	-	18:14	18:33	18:45
1241	16:40	16:51	16:59	-	-	-	17:40	-	-	-	18:18	18:30
